x_EA,Cl_Paper,Cl_Organic,Cl_PVC,Cl_Plastic,Cl_A,Cl_B,Cl_C,Cl_D
0.0,66.4135317151843,69.75923152339782,2.7783996861717152e-98,11.250414560596164,50.69470511377517,68.08638161929107,38.83197313789024,40.50482304199699
3.750187509375469e-05,67.29974283428554,70.37881577621246,2.890954999163235e-98,30.36500282024921,57.18135987335525,68.83927930524901,48.83237282726738,50.37190929823083
7.500375018750938e-05,68.18923849484479,70.99435191326218,3.008059450267058e-98,74.32968867381103,71.47760845880207,69.5917952040535,71.2594635843279,72.66202029353661
0.00011250562528126407,69.08183783981983,71.60562444994369,3.1298964724184126e-98,165.0195846996947,100.4591039734934,70.34373114488177,117.05071126975726,118.31260457481919
0.00015000750037501875,69.97735645961232,72.21241800572929,3.2566568776571316e-98,332.27131776622684,153.50396511897378,71.09488723267081,201.1243371129196,202.24186788597808
0.00018750937546877343,70.87560643854741,72.81451744032707,3.388539153271276e-98,606.7843986935459,240.26153202562836,71.84506193943726,338.83000256604663,339.7994580669365
0.00022501125056252814,71.77639640416763,73.41170799087197,3.525749769796134e-98,1004.986310486132,365.8951549846577,72.59405219751982,538.3813534451498,539.199009238502
0.0002625131256562828,72.67953157934156,74.00377541002737,3.668503501345502e-98,1509.6284580698957,524.9831059112556,73.34165349468448,791.1539948246186,791.8161167399616
0.0003000150007500375,73.58481383718322,74.5905061048745,3.817023758762132e-98,2056.667997261018,697.3952698099771,74.08765997102888,1065.1264055491006,1065.6292516829462
0.0003375168758437922,74.49204175877661,75.1716872764653,3.9715429361062066e-98,2541.221344571204,850.1644543679715,74.83186451762097,1307.8566931649902,1308.1965159238348
0.00037501875093754687,75.40101069369746,75.74710705991203,4.132302771008997e-98,2847.770498724116,946.980852744666,75.57405887680476,1461.5857547089067,1461.758802892014
0.00041252062603130155,76.3115128233201,76.31655466488593,4.299554719449874e-98,2894.3541304376554,962.0822041545066,76.31403374410303,1485.3328216304878,1485.3353425512707
0.0004500225011250563,77.22333722689774,76.87982051639527,4.473560345525743e-98,2667.979788056718,891.3845721752389,77.05157887164653,1372.601562641808,1372.4298042865566
0.00048752437621881096,78.13626995039799,77.43669639571198,4.6545917268190416e-98,2230.4761892797983,754.321839438256,77.786483173055,1154.3062296150981,1153.956442837755
0.0005250262513125656,79.0500940780767,77.98697558131462,4.8429318759841155e-98,1691.2072656041375,585.2691755647778,78.51853482969567,885.1286798411071,884.5971205927261
0.0005625281264063203,79.96458980676744,78.530452989715,5.038875179194234e-98,1163.0014818171542,419.69072383672653,79.24752139824123,621.4830358119608,620.7659674034346
0.000600030001500075,80.87953452286325,79.06692531603376,5.242727852130821e-98,725.3504560493403,282.57217724353393,79.97322991944851,403.1149952861018,402.20869068268706
0.0006375318765938297,81.79470288196373,79.59619117419093,5.454808414208787e-98,410.29828042508205,183.9855043531607,80.69544702807734,246.04649165352288,244.9472357996365
0.0006750337516875844,82.70986689115809,80.11805123657575,5.675448181768274e-98,210.4920478068871,121.61939408896814,81.41395906386693,146.6009573490226,145.3050495217314
0.0007125356267813391,83.62479599391231,80.63230837306011,5.90499178098692e-98,97.93904787957317,86.67502497166248,82.12855218348624,90.78192193674275,89.28567812631664
0.0007500375018750937,84.53925715752568,81.13876778921984,6.143797681302219e-98,41.32950941045611,69.3109562783448,82.83901247337278,62.9343832839909,61.234138599837976
0.0007875393769688485,85.45301496311905,81.6372371636279,6.392238750161139e-98,15.817899454356949,61.71758989180067,83.54512606337349,50.635457208737996,48.727568308992424
0.0008250412520626031,86.36583169811533,82.12752678408357,6.650702829948671e-98,5.490622167911972,58.89281843473992,84.24667924109947,45.92822693301365,43.809074475997775
0.0008625431271563578,87.27746745116947,82.60944968264214,6.919593337973767e-98,1.7285362656423298,58.12733120518169,84.94345856690582,44.5030018584059,42.168992974142235
0.0009000450022501126,88.18768020950228,83.08282176931007,7.199329890442485e-98,0.4935368902384513,58.1517316205144,85.63525098940619,44.34060854987036,41.78817932977426
0.0009375468773438672,89.09622595859085,83.54746196427101,7.490348951368485e-98,0.1278041431180739,58.44479624507015,86.32184396143094,44.61201505085446,41.83763305369454
0.0009750487524376219,90.00285878416466,84.00319232850939,7.793104507410942e-98,0.03001611174518984,58.81738163857838,87.00302555633704,45.01643744795492,42.016604220127284
0.0010125506275313766,90.90733097645472,84.44983819269844,8.108068769685385e-98,0.0063936391594512955,59.20844457951513,87.6785845845766,45.456862307807086,42.228115915928946
0.0010500525026251313,91.80939313664003,84.88722828422183,8.435732903610778e-98,0.001235167906570851,59.600343755551656,88.34831071043094,45.9053141522733,42.4442317260642
0.001087554377718886,92.70879428543336,85.31519485219789,8.776607787920254e-98,0.00021641535109538139,59.98844496236024,89.01199456881564,46.35450535039222,42.65770563377449
0.0011250562528126405,93.60528197374585,85.73357379037866,9.131224803986864e-98,3.4390169494608955e-05,60.37157968089418,89.66942788206227,46.80265818195767,42.86680409027407
0.0011625581279063953,94.49860239536764,86.14220475779607,9.50013665668279e-98,4.956381839659103e-06,60.74940410157107,90.32040357658187,47.24930367587474,43.071104857088955
0.00120006000300015,95.38850050159888,86.54093129703034,9.883918228024859e-98,6.478573434125259e-07,61.12175101768881,90.96471589931463,47.694250574728116,43.270465972443844
0.0012375618780939047,96.27472011776395,86.92960094997774,1.0283167464911383e-97,7.680300323778137e-08,61.48848827485669,91.60216053387086,48.13736009728348,43.46480051339037
0.0012750637531876595,97.15700406153799,87.308065370996,1.0698506302306169e-97,8.257740052266661e-09,61.84949121284159,92.23253471626701,48.578502034897866,43.654032689626874
0.001312565628281414,98.03509426301501,87.67618043730953,1.113058162328921e-97,8.052456739824158e-10,62.20463791548004,92.85563735016228,49.01754713191013,43.838090219057385
0.0013500675033751687,98.9087318864411,88.03380635655762,1.1580066257440072e-97,7.121636146278033e-11,62.553808530866704,93.47126912149938,49.45436594325616,44.016903178314415
0.0013875693784689235,99.777657453538,88.38080777137255,1.2047660019071533e-97,5.712357116057136e-12,62.896885240371894,94.07923261245529,49.888828726771855,44.19040388568913
0.0014250712535626782,100.64161096833716,88.7170538608766,1.253409078691571e-97,4.1556131042067635e-13,63.23375231945855,94.67933241460689,50.32080548416879,44.35852693043851
0.0014625731286564327,101.50033204344409,89.04241843899031,1.3040115626901293e-97,2.741820707276902e-14,63.56429620918552,95.27137524121721,50.75016602172206,44.52120921949517
0.0015000750037501875,102.35356002764983,89.35678004944738,1.3566521959748093e-97,1.6406924706309724e-15,63.88840558776624,95.85517003854862,51.17678001382492,44.67839002472369
0.0015375768788439422,103.20103413480541,89.66002205741455,1.4114128775147927e-97,8.904294309219687e-17,64.2059714408812,96.43052809611,51.600517067402706,44.830011028707275
0.001575078753937697,104.04249357387242,89.95203273761884,1.468378789440366e-97,4.3828440221042804e-18,64.51688713054945,96.99726315574564,52.02124678693621,44.97601636880942
0.0016125806290314517,104.87767768006177,90.23270535888703,1.5276385283449608e-97,1.9565759557858487e-19,64.82104846248323,97.5551915194744,52.43883884003088,45.116352679443516
0.0016500825041252062,105.70632604697026,90.50193826500717,1.5892842418246814e-97,7.921758478022463e-21,65.11835375186278,98.10413215598872,52.85316302348513,45.250969132503585
0.001687584379218961,106.52817865962412,90.75963495182432,1.653411770465731e-97,2.9089125841543663e-22,65.40870388747028,98.64390680572423,53.26408932981206,45.37981747591216
0.0017250862543127157,107.34297602833563,91.00570414048795,1.7201207954952232e-97,9.687772499388555e-24,65.69200239412429,99.17434008441181,53.671488014167814,45.502852070243975
0.0017625881294064704,108.15045932327882,91.24005984677136,1.7895149923214068e-97,2.9261823119558157e-25,65.96815549335687,99.69525958502511,54.07522966163941,45.62002992338568
0.0018000900045002251,108.95037050968814,91.46262144638813,1.8617021901964932e-97,8.016098000198781e-27,66.23707216227804,100.20649597803815,54.47518525484407,45.73131072319406
0.0018375918795939796,109.74245248358308,91.67331373623485,1.9367945382477195e-97,1.9916308427869767e-28,66.49866419057342,100.70788310990898,54.87122624179154,45.83665686811742
0.0018750937546877344,110.52644920791973,91.87206699149358,2.014908678127546e-97,4.487855411444389e-30,66.75284623558328,101.19925809970667,55.26322460395986,45.93603349574679
0.0019125956297814891,111.30210584907067,92.05881701853167,2.096165923549242e-97,9.17176793798639e-32,66.99953587541246,101.68046143380118,55.651052924535335,46.029408509265835
0.0019500975048752439,112.06916891353205,92.23350520354172,2.1806924469776239e-97,1.7000098866620317e-33,67.23865366002364,102.1513370585369,56.03458445676603,46.11675260177086
0.0019875993799689986,112.82738638475638,92.39607855686823,2.2686194737640014e-97,2.8578144276432605e-35,67.47012316026698,102.61173247081233,56.41369319237819,46.198039278434116
0.002025101255062753,113.576507860009,92.54648975297295,2.3600834840186287e-97,4.357132728817663e-37,67.69387101480305,103.06149880649099,56.7882539300045,46.27324487648647
0.0020626031301565076,114.31628468714518,92.6846971659949,2.455226422528001e-97,6.024926361425361e-39,67.90982697487631,103.50049092657007,57.15814234357259,46.34234858299745
0.0021001050052502626,115.04647010120412,92.81066490086663,2.554195917039322e-97,7.555911884296235e-41,68.11792394690009,103.92856750103539,57.52323505060206,46.40533245043331
