ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref;Kommentar
22;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;6.49;78.19;12.33;9.47;106.5;6.5;73.1;11.5;8.9;;dry ash free basis;46.66;6.25;0.13;0.09;46.86;;100.0;46.7;6.3;0.1;0.1;46.9;;;15.341;;16.94594112;15.341;14.34393456;18;
23;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;6.05;77.53;12.86;9.61;106.1;6.1;72.8;12.1;9.0;;dry ash free basis;47.4;6.45;0.12;0.07;45.97;;100.0;47.4;6.5;0.1;0.1;46.0;;;;;;;;18;
24;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;6;;;;6.0;;;;;;dry ash free basis;46.28;6.38;0.32;0.21;46.81;;100.0;46.3;6.4;0.3;0.2;46.8;;;19.277;;;19.277;;18;
25;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;5.44;66.96;6.97;26.08;105.5;5.4;63.3;6.6;24.7;;;;;;;;;;;;;;;;;;;;;;18;
26;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;4.85;80.5;9.45;10.05;104.9;4.9;76.6;9.0;9.6;;dry ash free basis;40.46;6.31;0.34;0.33;52.56;;100.0;40.5;6.3;0.3;0.3;52.6;;;;;;;;18;
27;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;4.11;69.24;7.33;23.43;104.1;4.1;66.4;7.0;22.5;;dry ash free basis;49.6;6.16;0.61;0.2;43.43;;100.0;49.6;6.2;0.6;0.2;43.4;;;;;;;;18;
28;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;3.82;69.04;9.75;21.21;103.8;3.8;66.4;9.4;20.4;;dry ash free basis;44.29;5.63;0.32;0;49.76;;100.0;44.3;5.6;0.3;0.0;49.8;;;13.445;;17.06434827;13.445;12.931401;18;
29;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;2.64;85.46;8.25;6.3;102.7;2.6;83.2;8.0;6.1;;;;;;;;;;;;;;;;;;;;;;18;
30;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;2.53;80.84;10.04;9.12;102.5;2.5;78.8;9.8;8.9;;dry ash free basis;43.99;1.31;0.03;0.02;54.54;0.1;100.0;44.0;1.3;0.0;0.0;54.5;0.10;;14.811;;16.29731514;14.811;14.4362817;18;
31;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;2.13;;;;2.1;;;;;;dry ash free basis;43.11;6.12;0.18;0.1;49.76;0.73;100.0;43.1;6.1;0.2;0.1;49.8;0.73;;;;;;;18;
32;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;2.11;61.67;3.19;35.35;102.3;2.1;60.4;3.1;34.6;;;;;;;;;;;;;;;;;;;;;;18;
33;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;1.39;;;;1.4;;;;;;dry ash free basis;38.29;6.1;0.25;0.86;54.5;;100.0;38.3;6.1;0.3;0.9;54.5;;;13.83;;;13.83;;18;
34;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;;;;;;;;;;;;dry ash free basis;47.78;6.27;0.8;0;45.15;;100.0;47.8;6.3;0.8;0.0;45.2;;;;;;;;18;
