ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref;Kommentar
112;Paper ;2;Copy paper;Copy paper;copy sheet papers, Glossy, coated ;1.19;0.1756;1.25;N/A;;;;24.79;24.79;;;;;;;;;;;;;;;;;;;;;;;;;;5;
113;Paper ;2;Copy paper;Copy paper;copy sheet papers;1.26;0.1816;;N/A;;;;38.41;38.41;;;;;;;;;;;;;;;;;;;;;;;;;;5;
114;Paper ;2;Copy paper;Copy paper;Printed paper ;;;;dry state;;;;21.31;21.31;;;;;;dry basis;36.86;4.49;0.09;0.03;37.22;;78.7;46.8;5.7;0.1;0.0;47.3;;;13.77;;;13.77;;7;
115;Paper ;2;Copy paper;Copy paper;Printing paper;;;;dry basis;0;87.65;0.04;12.03;99.72;0.3;87.65;0.04;12.03;;dry ash free basis;44.93;4.55;0.09;0;50.43;;100.0;44.9;4.6;0.1;0.0;50.4;;;14.236;;16.18900582;14.236;14.1961392;31;
116;Paper ;2;Copy paper;Copy paper;Printing paper;;;;;;;;;;;;;;;dry ash free basis;44.59;6.03;0.1;0.08;49.2;;100.0;44.6;6.0;0.1;0.1;49.2;;;16.146;;;16.146;;31;
117;Paper ;2;Copy paper;Copy paper;Writing paper;;;;;;;;;;;;;;;dry ash free basis;43.66;5.84;0.16;0.18;50.16;;100.0;43.7;5.8;0.2;0.2;50.2;;;13.69;;;13.69;;31;
118;Paper ;2;Copy paper;Copy paper;Writing paper;;;;air dry basis;6.42;75.13;6.68;11.77;100;6.4;75.1;6.7;11.8;;air dry basis;34.96;4.6;0.08;0.08;48.51;0.02;88.3;39.6;5.2;0.1;0.1;55.0;0.02;;12.548;;14.35328004;12.548;11.7424184;38;
119;Paper ;2;Copy paper;Copy paper;Office paper;;;;dry state;;;;13.17;13.17;;;;;;dry basis;37.73;4.84;0.06;0.04;44.15;;86.8;43.5;5.6;0.1;0.0;50.9;;;13.49;;;13.49;;7;
120;Paper ;2;Copy paper;Copy paper;Office paper;;;;dry basis;0;79.33;9.98;10.69;100;0.0;79.3;10.0;10.7;;dry ash free basis;45.12;5.31;0.38;0.28;48.91;;100.0;45.1;5.3;0.4;0.3;48.9;;;13.51;;15.12708543;13.51;;31;
121;Paper ;2;Copy paper;Copy paper;Office paper;;;;as received;4;79.4;10.1;6.4;99.9;4.0;79.5;10.1;6.4;;dry basis;40.8;5.7;0.21;0;46.62;;93.3;43.7;6.1;0.2;0.0;50.0;;;13.82;;14.80824581;13.82;13.26664665;32;
122;Paper ;2;Copy paper;Copy paper;Office paper;;;;dry basis;;;;15.7;15.7;;;;;;dry basis;35;5.2;0;0;44;;84.2;41.6;6.2;0.0;0.0;52.3;;;12.96;;;12.96;;30;
123;Paper ;2;Copy paper;SGW 100 CSF;Pulps studied, Uncalendered;0.403;0.042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
124;Paper ;2;Copy paper;PGW 100 CSF;Pulps studied, Uncalendered;0.403;0.042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
125;Paper ;2;Copy paper;TMP 100 CSF;Pulps studied, Uncalendered;0.403;0.042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
126;Paper ;2;Copy paper;SGW 70 CSF;Pulps studied, Uncalendered;0.403;0.042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
127;Paper ;2;Copy paper;SGW 48 CSF;Pulps studied, Uncalendered;0.592;0.064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
128;Paper ;2;Copy paper;bleached pine kraft;Pulps studied, Uncalendered;0.699;0.064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
129;Paper ;2;Copy paper;bleached birch kraft 22 SR;Pulps studied, Uncalendered;0.749;0.063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
130;Paper ;2;Copy paper;bleached birch kraft 48 SR;Pulps studied, Uncalendered;0.894;0.077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
131;Paper ;2;Copy paper;bleached birch kraft 69 SR;Pulps studied, Uncalendered;0.968;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
132;Paper ;2;Copy paper;30% bleached pine kraft, 20 SR;Pulps studied, Uncalendered;0.451;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
133;Paper ;2;Copy paper;SGW 100 CSF;Pulps studied, Calendered;0.638;0.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
134;Paper ;2;Copy paper;PGW 100 CSF;Pulps studied, Calendered;0.638;0.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
135;Paper ;2;Copy paper;TMP 100 CSF;Pulps studied, Calendered;0.638;0.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
136;Paper ;2;Copy paper;SGW 70 CSF;Pulps studied, Calendered;0.638;0.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
137;Paper ;2;Copy paper;SGW 48 CSF;Pulps studied, Calendered;0.757;0.063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
138;Paper ;2;Copy paper;bleached pine kraft;Pulps studied, Calendered;0.992;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
139;Paper ;2;Copy paper;bleached birch kraft 22 SR;Pulps studied, Calendered;0.971;0.101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
140;Paper ;2;Copy paper;bleached birch kraft 48 SR;Pulps studied, Calendered;1.003;0.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
141;Paper ;2;Copy paper;bleached birch kraft 69 SR;Pulps studied, Calendered;1.114;0.162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
142;Paper ;2;Copy paper;30% bleached pine kraft, 20 SR;Pulps studied, Calendered;0.713;0.058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;
143;Paper ;3;Coated Paper;Coated Paper;Paper cup waste;;;;dry basis;0;52;46;2;100;0.0;52.0;46.0;2.0;;dry ash free basis;46.7;6.7;2.12;0;44.4;;99.9;46.7;6.7;2.1;0.0;44.4;;;;20.1;20.51020408; 20.10   ;20.1;27;
144;Paper ;3;Coated Paper;Coated Paper;Paper cup waste;;;;dry basis;0.8;52.75;44.3;2.15;100.0;0.8;52.75;44.3;2.15;;dry ash free basis;46.8;6.9;2.11;0;44.19;;100.0;46.8;6.9;2.11;0;44.19;;;;21.11;21.75167439; 21.28   ;21.11;28;
145;Paper ;3;Coated Paper;Coated Paper;Pa food cartons;;;;;;;;;;;;;;;dry ash free basis;44.7;6.1;0.2;0.2;48.9;;100.1;44.66;6.09;0.20;0.20;48.85;;16.9;;;16.9;;;29;
146;Paper ;3;Coated Paper;Coated Paper;Coated Paper;;;;;;;;;;;;;;;dry ash free basis;30.5;4.6;2.9;1.5;60.5;;100.0;30.5;4.6;2.9;1.5;60.5;;12.2;;;12.2;;;29;
147;Paper ;3;Coated Paper;Coated Paper;Plastic coated paper;;;;;;;;;;;;;;;dry ash free basis;45.3;6.2;0.2;0.1;48.3;;100.1;45.3;6.2;0.2;0.1;48.3;;12.2;;;12.2;;;29;
148;Paper ;3;Coated Paper;Coated Paper;Paper cup/plates;;;;dry basis;;;;4.5;4.5;;;;;;dry basis;43.6;7;0.2;0;44.7;;95.5;45.7;7.3;0.2;0.0;46.8;;;17.7;;;17.7;;30;
149;Paper ;4;Newspaper;Newspaper;;0.6894;0.1186;1.232;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;39;
150;Paper ;4;Newspaper;Newspaper;;;;;wet basis;7.9;80.5;11;0.6;100;7.9;80.5;11.0;0.6;;dry ash free basis;52.1;5.9;0.11;0.03;41.86;;100.0;52.1;5.9;0.11;0.03;41.86;;;;;;;;8;
151;Paper ;4;Newspaper;Newspaper;;;;;w/d basis;8.1;88.5;10.5;1;108.1;8.1;81.3;9.6;0.9;;dry ash free basis;;;;;;;;;;;;;;19.3;;;19.3; 19.11   ;17.559333;8;
152;Paper ;4;Newspaper;Newspaper;;;;;dry basis;;86.37;12.25;1.38;100;0.0;86.4;12.3;1.4;;dry basis;49.1;6.1;0.1;0.2;43;;98.5;49.8;6.2;0.1;0.2;43.7;;;19.743;;20.01926587;19.743;;31;
153;Paper ;4;Newspaper;Newspaper;;;;;dry basis;;82.62;14.72;2.66;100;0.0;82.6;14.7;2.7;;dry ash free basis;41.35;6.15;0.1;0.19;52.21;;100.0;41.35;6.15;0.1;0.19;52.21;;;;;;;;31;
154;Paper ;4;Newspaper;Newspaper;;;;;dry basis;;85.04;9.59;5.43;100.06;0.0;85.0;9.6;5.4;;dry ash free basis;45.24;7.17;0.25;0.23;47.1;;100.0;45.24;7.17;0.25;0.23;47.1;;;16.27;;17.20359505;16.27;;31;
155;Paper ;4;Newspaper;Newspaper;;;;;dry basis;;79.54;12.39;8.07;100;0.0;79.5;12.4;8.1;;dry ash free basis;48.01;5.71;0.33;0.13;45.82;;100.0;48.01;5.71;0.33;0.13;45.82;;;17.16;;18.66637659;17.16;;31;
156;Paper ;4;Newspaper;Newspaper;;;;;dry basis;;78.19;12.33;9.47;99.99;0.0;78.2;12.3;9.5;;dry ash free basis;46.66;6.25;0.13;0.09;46.86;;100.0;46.66;6.25;0.13;0.09;46.86;;;15.341;;16.94594112;15.341;;31;
157;Paper ;4;Newspaper;Newspaper;;;;;dry basis;;;;;0;;;;;;dry ash free basis;49.86;6.34;0.15;0.26;43.24;0.15;100.0;49.9;6.3;0.2;0.3;43.2;0.15;;;;;;;31;
158;Paper ;4;Newspaper;Newspaper;;;;;as received;5.4;76.9;8.75;8.9;99.95;5.4;76.9;8.8;8.9;;dry basis;44.1;5.6;0.17;0;40.72;;90.6;48.7;6.2;0.2;0.0;44.9;;;15.87;;17.5190718;15.87;15.0125913;32;
159;Paper ;4;Newspaper;Newspaper;;;;;dry basis;;;;8.85;8.85;;;;;;dry basis;39.72;5.71;3.66;0;42.06;;91.2;43.6;6.3;4.0;0.0;46.1;;;;;;;;33;
160;Paper ;4;Newspaper;Newspaper;;;;;dry basis;;85.9;10.7;3.5;100.1;0.0;85.8;10.7;3.5;;dry ash free basis;46.3;6;0.1;0;47.6;;100.0;46.3;6.0;0.1;0.0;47.6;;;;;;;;36;
161;Paper ;4;Newspaper;Newspaper;Newspaper I;;;;;;;;;0;;;;;;dry ash free basis;43.8;5.9;0.3;0.2;49.8;;100.0;43.8;5.9;0.3;0.2;49.8;;18;;;18;;;29;
162;Paper ;4;Newspaper;Newspaper;Newspaper II;;;;;;;;;0;;;;;;dry ash free basis;52.1;5.9;0.1;0;41.9;;100.0;52.1;5.9;0.1;0;41.9;;19.3;;;19.3;;;29;
163;Paper ;4;Newspaper;Newspaper;Newprint I;;;;;;;;;0;;;;;;dry ash free basis;49.1;6.1;0.1;0.2;44.6;;100.1;49.1;6.1;0.1;0.2;44.6;;18.5;;;18.5;;;29;
164;Paper ;4;Newspaper;Newspaper;Newprint II;;;;;;;;;0;;;;;;dry ash free basis;48.8;6.2;0.2;0.3;44.6;;100.1;48.8;6.2;0.2;0.3;44.6;;14.5;;;14.5;;;29;
165;Paper ;4;Newspaper;Newspaper;Newspaper;;;;;;;;10.4;10.4;;;;;;dry basis;40.3;5.6;0.25;0.04;53.8;;100.0;40.3;5.6;0.25;0.04;53.8;;;14.66;;;14.66;;30;
166;Paper ;5;Glossy paper;Glossy paper;;;;;w/d basis;3.7;67.3;4.7;28;103.7;3.7;64.8;4.5;27.0;;dry ash free basis;;;;;;;;;;;;;;10.4;;;10.4; 7.49   ;7.210944;8;
167;Paper ;5;Glossy paper;Glossy paper ;;;;;as received;3.5;65.1;4.4;27;100;3.5;65.1;4.4;27;;dry ash free basis;45.6;4.8;0.14;0.05;49.41;;100.0;45.6;4.8;0.14;0.05;49.41;;;;;;;;8;
168;Paper ;5;Glossy paper;Glossy paper ;;;;;dry basis;;;;28.7;;;;;;;dry basis;82.9;7.5;0.12;0.04;9.4;;100.0;82.93;7.50;0.12;0.04;9.40;;;9.56;;;9.56;;30;
169;Paper ;5;Glossy paper;Glossy paper ;;;;;dry basis;0;68.51;5.18;26.31;100;0.0;68.5;5.2;26.3;;dry ash free basis;64.2;3.39;1.49;0.52;13.43;;83.0;77.32;4.08;1.79;0.63;16.17;;;;16.47;22.35038676; 16.47   ;16.47;35;
170;Paper ;5;Glossy paper;Glossy paper ;Glossy paper I;;;;;;;;;0;;;;;;dry ash free basis;43.4;5.3;0.6;0.3;50.4;;100.0;43.4;5.3;0.6;0.3;50.4;;14.7;;;14.7;;;29;
171;Paper ;5;Glossy paper;Glossy paper ;Glossy paper II;;;;;;;;;0;;;;;;dry ash free basis;45.6;4.8;0.1;0.1;49.4;;100.0;45.6;4.8;0.1;0.1;49.4;;10.4;;;10.4;;;29;
172;Paper ;5;Glossy paper;Glossy paper ;;;;;w/d basis;3.8;70.7;4.5;24.8;103.8;3.8;68.0;4.3;23.9;;dry ash free basis;41.9;5.3;0.1;0.02;52.587;0.093;100.0;41.9;5.3;0.1;0.0;52.6;0.09;;10.4;;13.82978723;10.4;7.5236096;37;
173;Paper ;6;Magazine;Magazine;;;;;dry basis;0;68.81;7.88;23.32;100.01;0.6;68.18;7.88;23.32;;;;;;;;;;;;;;;;;12.742;;16.64869787;12.742;12.6629996;31;
174;Paper ;6;Magazine;Magazine;;;;;dry basis;0;62.44;8.07;29.49;100;0.0;62.4;8.1;29.5;;dry ash free basis;41.04;8.99;0.42;0.4;49.15;;100.0;41.04;8.99;0.42;0.4;49.15;;;11.825;;16.77067083;11.825;;31;
175;Paper ;6;Magazine;Magazine;;;;;;;;;;;;;;;;dry ash free basis;46.44;6.54;0.16;0.3;46.33;0.23;100.0;46.4;6.5;0.2;0.3;46.3;0.23;;;;;;;31;
176;Paper ;6;Magazine;Magazine;Magazines;;;;;;;;;;;;;;;dry ash free basis;35;5;0.1;0.1;59.9;;100.1;35.0;5.0;0.1;0.1;59.8;;13.6;;;13.6;;;29;
177;Paper ;6;Magazine;Magazine;Magazine stock;;;;;;;;;;;;;;;dry ash free basis;32.9;4.6;0.1;0.2;62.1;;99.9;32.9;4.6;0.1;0.2;62.2;;12.7;;;12.7;;;29;
178;Paper ;6;Magazine;Magazine;Trade magazines;;;;;;;;;;;;;;;dry ash free basis;32.9;5;0.1;0.1;62;;100.1;32.9;5.0;0.1;0.1;61.9;;12.2;;;12.2;;;29;
179;Paper ;6;Magazine;Magazine;;;;;as received;2.1;66.7;8.2;23;100;2.1;66.7;8.2;23.0;;dry basis;35.5;4.6;0.45;0;35.96;;76.5;46.4;6.0;0.6;0.0;47.0;;;12.34;;16.12931909;12.34;12.08086;32;
180;Paper ;7;Cardboard;Cardboard;;;0.061;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;
181;Paper ;7;Cardboard;Cardboard;;;;;dry state;;;;12.17;12.17;;;;;;dry basis;41.34;5.12;0.14;0.05;41.18;;87.8;47.1;5.8;0.2;0.1;46.9;;;15.46;;;15.46;;7;
182;Paper ;7;Cardboard;Cardboard;;;;;wet basis;6.6;81.9;10.3;1.2;100;6.6;81.9;10.3;1.2;;dry ash free basis;48.6;6.2;0.11;0.13;44.96;;100.0;48.6;6.2;0.11;0.13;44.96;;;;;;;;8;
183;Paper ;7;Cardboard;Cardboard;;;;;w/d basis;6.2;84.7;6.9;8.4;106.2;6.2;79.4;6.5;7.9;;;;;;;;;;;;;;;;16.9;;;16.9; 15.48   ;14.5206152;8;
184;Paper ;7;Cardboard;Cardboard;;;;;dry basis;;78.7;10.53;10.77;100;0.0;78.7;10.5;10.8;;dry ash free basis;47.09;6;0.18;0.11;46.63;;100.0;47.09;6;0.18;0.11;46.63;;;;;;;;31;
185;Paper ;7;Cardboard;Cardboard;;;;;dry basis;;78.8;12.12;9.09;100.01;0.0;78.8;12.1;9.1;;dry ash free basis;49.33;7.94;0.49;0.25;41.99;;100.0;49.33;7.94;0.49;0.25;41.99;;;15.992;;17.59084822;15.992;;31;
186;Paper ;7;Cardboard;Cardboard;;;;;dry basis;;81.75;12.97;5.27;99.99;0.0;81.8;13.0;5.3;;dry ash free basis;46.09;5.36;0.32;0.21;48.02;;100.0;46.09;5.36;0.32;0.21;48.02;;;17.278;;18.23930764;17.278;;31;
187;Paper ;7;Cardboard;Cardboard;;;;;;;;;;;;;;;;dry ash free basis;46.71;5.31;0.32;0.32;47.35;;100.0;46.71;5.31;0.32;0.32;47.35;;;18.367;;;18.367;;31;
188;Paper ;7;Cardboard;Cardboard;;;;;dry basis;;83.47;13.29;3.25;100.01;0.0;83.5;13.3;3.2;;;;;;;;;;;;;;;;;16.002;;16.53947933;16.002;;31;
189;Paper ;7;Cardboard;Cardboard;;;;;as received;5;82.1;6.02;6.8;99.92;5.0;82.2;6.0;6.8;;dry basis;42.2;5.6;0.2;0;44.48;;92.5;45.6;6.1;0.2;0.0;48.1;;;14.48;;15.59738538;14.48;13.75542034;32;
190;Paper ;7;Cardboard;Cardboard;;;;;air dry basis;2.7;80.4;11.2;5.7;100;2.7;80.4;11.2;5.7;;air dry basis;41.7;6.4;0;0.12;43.5;;91.7;45.5;7.0;0.0;0.1;47.4;;;;;;;;34;
191;Paper ;7;Cardboard;Cardboard;;;;;;;;;;;;;;;;dry ash free basis;49.6;6.4;0.7;0.2;43;;99.9;49.6;6.4;0.7;0.2;43.0;;18.5;;;18.5;;;29;
192;Paper ;7;Cardboard;Cardboard;;;;;;;;;;;;;;;;dry ash free basis;48.6;6.2;0.1;0.1;45;;100.0;48.6;6.2;0.1;0.1;45;;16.9;;;16.9;;;29;
193;Paper ;7;Cardboard;Cardboard;;;;;;;;;;;;;;;;dry ash free basis;38.5;5.7;0.8;0.1;54.9;;100.0;38.5;5.7;0.8;0.1;54.9;;13.8;;;13.8;;;29;
194;Paper ;7;Cardboard;Cardboard;Corrugated boxes;;;;;;;;;;;;;;;dry ash free basis;43.7;5.7;0.1;0.2;50.3;;100.0;43.7;5.7;0.1;0.2;50.3;;16.4;;;16.4;;;29;
195;Paper ;7;Cardboard;Cardboard;Corrugated and kraft;;;;;;;;;;;;;;;dry ash free basis;46;6.4;0.3;0.2;47.1;;100.0;46;6.4;0.3;0.2;47.1;;19;;;19;;;29;
196;Paper ;7;Cardboard;Cardboard;Corrugated paper;;;;;;;;;;;;;;;dry ash free basis;46;6.4;0.1;0.3;47.2;;100.0;46;6.4;0.1;0.3;47.2;;14.5;;;14.5;;;29;
197;Paper ;7;Cardboard;Cardboard;Box ;;;;air dry basis;6.81;8.44;75.34;9.41;100.0;6.81;8.44;75.34;9.41;;air dry basis;39;5.7;0.45;0.16;46.25;0.08;91.6;42.6;6.2;0.5;0.2;50.5;0.09;;15.474;;17.21200836;15.474;14.4202206;38;
198;Paper ;7;Cardboard;Cardboard;Paper cores (PC) ;;;;PRESENCE OF MOISTURE;5.54;;;18.6;24.14;;;;;;PRESENCE OF MOISTURE;34.24;4.02;0.2;0.08;37.32;;75.9;45.1;5.3;0.3;0.1;49.2;;;;12.64;16.66227261;13.38132543;12.64;7;
199;Paper ;7;Cardboard;Cardboard;Cardboard;;;;dry basis;;;;11.3;11.3;;;;;;dry ash free basis;48.4;5.4;0.66;0.34;45.2;;100.0;48.4;5.4;0.66;0.34;45.2;;;13.37;;;13.37;;30;
200;Paper ;7;Cardboard;Cardboard;Packaging p  (PEP) ;;;;PRESENCE OF MOISTURE;6.04;;;0.75;6.79;;;;;;PRESENCE OF MOISTURE;52.14;7.27;0;0.08;33.71;;93.2;55.9;7.8;0.0;0.1;36.2;;;;23.16;24.84711941;24.64878672;23.16;7;
201;Paper ;7;Cardboard;Cardboard;Carton;;;;dry basis;;83.95;8.82;7.22;99.99;0.0;84.0;8.8;7.2;;dry ash free basis;48.97;6.14;0.21;0.16;44.52;;100.0;48.97;6.14;0.21;0.16;44.52;;;17.099;;18.42976188;17.099;;31;
202;Paper ;7;Cardboard;Cardboard;Carton;;;;;;;;;;;;;;;dry ash free basis;47.32;6.53;0.14;0.3;45.55;0.15;100.0;47.3;6.5;0.1;0.3;45.6;0.15;;;;;;;31;
203;Paper ;7;Cardboard;Cardboard;Cardboard;;;;dry basis;3.24;78.07;8.64;10.05;100;3.24;78.07;8.64;10.05;;dry basis;40.64;6.19;0.05;0.1;42.97;;90.0;45.18065592;6.881600889;0.055586437;0.111172874;47.77098388;;;;20.46;23.59589436;21.14510128;20.46;43;
204;Paper ;7;Cardboard;Cardboard;Packaging;;;;dry basis;3.4;78.38;7.43;11.79;101;3.37;77.60;7.36;11.67;;dry basis;42.6;6.41;0.21;1.91;37.08;;88.2;48.29384424;7.266749802;0.238068246;2.165287382;42.03605033;;;;22.75;26.77718215;23.54252049;22.75;43;
205;Paper ;7;Cardboard;Cardboard;Paper packing;;;;;;;;12.6;12.6;;;;;;dry basis;42.5;6.3;0;0;38.6;;87.4;48.6;7.2;0.0;0.0;44.2;;;17.1;;;17.1;;30;
206;Paper ;8;Paper board;Paper board;Homogeneous From Repulped Paper;0.48;0.072;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
207;Paper ;8;Paper board;Paper board;Laminated;0.48;0.072;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
208;Paper ;8;Paper board;Paper board;Thick paper;;;;air dry basis;7.56;75.01;12.03;5.4;100;7.56;75.01;12.03;5.4;;air dry basis;41.72;5.95;0.07;0.11;46.75;0.07;94.7;44.1;6.3;0.1;0.1;49.4;0.1;;15.165;;16.10584329;15.165;14.018526;38;
209;Paper ;8;Paper board;Paper board;Duplex paper;;;;air dry basis;20.64;61.02;8.8;9.54;100;20.64;61.02;8.8;9.54;;air dry basis;32.68;6.2;0.12;0.12;51.34;0.12;90.6;36.1;6.8;0.1;0.1;56.7;0.1;;12.297;;13.97722601;12.297;9.7588992;38;
210;Paper ;8;Paper board;Paper board;;;;;dry basis;;72.27;13.67;14.07;100.01;0.0;72.3;13.7;14.1;;dry ash free basis;49.51;6.29;0.27;0.22;43.71;;100.0;49.51;6.29;0.27;0.22;43.71;;15.481;;;15.481;13.3030411;;31;
211;Paper ;9;Tissue paper;Tissue paper;;;;;dry basis;;95.36;4.6;0.04;100;0;95.36;4.6;0.04;;dry ash free basis;44.31;6.06;0.13;0.06;49.43;;100.0;44.31;6.06;0.13;0.06;49.43;;;16.855;;16.8617447;16.855;;31;
212;Paper ;9;Tissue paper;Tissue paper;;;;;;;;;;;;;;;;dry ash free basis;41.1;6.3;0.44;0.1;52.1;;100.0;41.1;6.3;0.44;0.1;52.1;;;15.32;;;15.32;;30;
213;Paper ;9;Tissue paper;Hygienic paper;;;;;dry basis;3.2;83.55;10.04;3.21;100;3.2;83.55;10.04;3.21;;dry basis;39.6;5.74;0.2;1.85;49.4;;96.8;40.91331749;5.930364707;0.206632917;1.911354479;51.03833041;;;;15.3;16.34790042;15.80578512;15.3;43;
214;Paper ;9;Tissue paper;Toilette paper;;;;;dry basis;;90.47;9.01;0.52;100;0;90.47;9.01;0.52;;dry ash free basis;45.18;6.13;0.25;0.11;48.32;;100.0;45.18;6.13;0.25;0.11;48.32;;;17.25;;17.34016888;17.25;17.25;31;
215;Paper ;9;Tissue paper;Toilette paper;;;;;;;;;;;;;;;;dry ash free basis;41.63;5.71;0;0.31;52.35;;100.0;41.63;5.71;0;0.31;52.35;;;;;;;;31;
216;Paper ;10;Others;Others;Self copying dry SC;;;;PRESENCE OF MOISTURE;5.3;;;13.36;18.66;;;;;;PRESENCE OF MOISTURE;37.34;4.96;0.17;0.05;38.82;;81.3;45.9;6.1;0.2;0.1;47.7;;;;14.33;17.61740841;15.13199578;14.33;7;
217;Paper ;10;Others;Others;Greaseproof p (GPC) ;;;;PRESENCE OF MOISTURE;6.16;;;1.04;7.2;;;;;;PRESENCE OF MOISTURE;42.79;5.48;0.02;0.06;44.45;;92.8;46.1;5.9;0.0;0.1;47.9;;;;16.49;17.76939655;17.57246377;16.49;7;
218;Paper ;10;Others;Others;Silicone p 1 (SR1) ;;;;PRESENCE OF MOISTURE;5.38;;;9.4;14.78;;;;;;PRESENCE OF MOISTURE;39.03;5.35;0.05;0.12;40.67;;85.2;45.8;6.3;0.1;0.1;47.7;;;;15.46;18.14128139;16.33904037;15.46;7;
219;Paper ;10;Others;Others;Silicone p 2 (SR2) ;;;;PRESENCE OF MOISTURE;6.51;;;0.59;7.1;;;;;;PRESENCE OF MOISTURE;42.01;5.48;0;0.04;45.37;;92.9;45.2;5.9;0.0;0.0;48.8;;;;16.54;17.80409042;17.69173174;16.54;7;
220;Paper ;10;Others;Others;Silicone p3 (SR3) ;;;;PRESENCE OF MOISTURE;5.2;;;9.41;14.61;;;;;;PRESENCE OF MOISTURE;42.97;5.49;0.03;0.03;36.88;;85.4;50.3;6.4;0.0;0.0;43.2;;;;17.4;20.37709334;18.35443038;17.4;7;
221;Paper ;10;Others;Others;Baking p (BP) ;;;;PRESENCE OF MOISTURE;6.1;;;1.19;7.29;;;;;;PRESENCE OF MOISTURE;41.27;5.57;0;0.06;45.8;;92.7;44.5;6.0;0.0;0.1;49.4;;;;16.6;17.90529608;17.67838126;16.6;7;
222;Paper ;10;Others;Others;Brown paper;;;;;;;;;;;;;;;dry ash free basis;44.9;6.1;0;0.1;48.9;;100.0;44.9;6.1;0;0.1;48.9;;16.9;;;16.9;;;29;
223;Paper ;10;Others;Others;Brown paper bags;;;;dry basis;;;;;;;;;;;dry ash free basis;40;5.8;0.04;0.03;54.1;;100.0;40.0;5.8;0.0;0.0;54.1;;;15.53;;;15.53;;30;
224;Paper ;10;Others;Others;100% recycled paper;;;;w/d basis;5.4;73.6;6.2;20.2;105.4;5.4;69.6;5.9;19.1;;;;;;;;;;;;;;;;13.60;;;13.60;10.8528;10.2667488;8;
225;Paper ;10;Others;Others;Milk carton;;;;w/d basis;5.1;90.4;6.4;3.2;105.1;5.1;85.8;6.1;3.0;;;;;;;;;;;;;;;;21;;;21;20.328;19.291272;8;
226;Paper ;10;Others;Others;Juice carton;;;;w/d basis;4;86;6.1;7.9;104;4.0;82.6;5.9;7.6;;;;;;;;;;;;;;;;24.4;;;24.4;22.4724;21.573504;8;
227;Paper ;10;Others;Others;Recycling paper;;;;wet basis;7.5;75.8;4.81;11.9;100.01;7.5;70.1;4.4;11.0;;dry basis;41.9;5.5;0.27;0;39.47;;87.1;48.1;6.3;0.3;0.0;45.3;;;15.2;;17.44389034;15.2;13.006906;32;
228;Paper ;10;Others;Others;Tetra pack;;;;wet basis;1.2;83.4;8.9;6.5;100;1.2;82.4;8.8;6.4;;dry basis;48;6.3;0.08;0;39.04;;93.4;51.4;6.7;0.1;0.0;41.8;;;18.52;;19.82422535;18.52;18.07818688;32;
229;Paper ;10;Others;Others;High-grade paper;;;;;;;;;;;;;;;dry ash free basis;38.1;5.6;0.2;0.1;56.1;;100.1;38.1;5.6;0.2;0.1;56.0;;15.2;;;15.2;;;29;
