ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref A
169;Organic;4;Plant based ;Orange peel;;;;;dry basis;;76.47;20.6;2.91;99.98;0;76.48529706;20.60412082;2.910582116;;dry ash free basis;48.74;5.92;1.43;0.19;43.72;;100;48.74;5.92;1.43;0.19;43.72;;;18.47;;19.02370042;18.47;18.47;31
170;Organic;4;Plant based ;Banana peel;;;;;dry basis;;75.37;15.82;8.81;100;0;75.37;15.82;8.81;;;;;;;;;;;;;;;;;;;;;;31
171;Organic;4;Plant based ;Fruit peel;;;;;dry basis;;77.68;19.2;3.13;100.01;0;77.67223278;19.19808019;3.129687031;;dry ash free basis;50.15;5.82;1.14;0.2;42.69;;100;50.15;5.82;1.14;0.2;42.69;;;;;;;;31
172;Organic;4;Plant based ;Fruit peel;;;;;dry basis;;77.93;18.78;3.29;100;0;77.93;18.78;3.29;;dry ash free basis;48.50;6.20;1.30;0.20;39.50;;95.7;50.67920585;6.478578892;1.358411703;0.208986416;41.27481714;;;18.638;;19.27205046;18.638;18.638;31
173;Organic;4;Plant based ;Fruit peel;;;;;;;;;;;;;;;;dry ash free basis;47.58;6.17;0.78;0;45.47;;100;47.58;6.17;0.78;0;45.47;;;;;;;;31
174;Organic;4;Plant based ;Fruit peel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.887;;;16.887;;31
175;Organic;4;Plant based ;Lemons Seeds;average value in moisture content between 8 and 1%w.;0.838;;;air dryed;4.795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46
176;Organic;4;Plant based ;Oranges;;1.019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47
177;Organic;4;Plant based ;Peanuts;Solid density hulled peanuts;0.475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48
178;Organic;4;Plant based ;Peanuts;Solid density  peanut kernel;0.905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48
179;Organic;4;Plant based ;Peanuts;Solid density  peanut shell;0.285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48
180;Organic;4;Plant based ;Artichokes;globe;;;3.9;as received;84.94;;;1.13;;;;;;;;;;;;;;;;;;;;;;;;;;;3
181;Organic;4;Plant based ;Artichokes;Jerusalem;;;3.63;as received;78.01;;;2.54;;;;;;;;;;;;;;;;;;;;;;;;;;;3
182;Organic;4;Plant based ;Asparagus;;;;4.03;as received;92.4;;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;3
183;Organic;4;Plant based ;Beans;snap;;;3.99;as received;90.27;;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;3
184;Organic;4;Plant based ;Beans;lima;;;3.52;as received;70.24;;;1.89;;;;;;;;;;;;;;;;;;;;;;;;;;;3
185;Organic;4;Plant based ;Beets;;;;3.91;as received;87.58;;;1.08;;;;;;;;;;;;;;;;;;;;;;;;;;;3
186;Organic;4;Plant based ;Broccoli;;;;4.01;as received;90.69;;;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;3
187;Organic;4;Plant based ;Brussels sprouts;;;;3.9;as received;86;;;1.37;;;;;;;;;;;;;;;;;;;;;;;;;;;3
188;Organic;4;Plant based ;Cabbage;;;;4.02;as received;92.15;;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;3
189;Organic;4;Plant based ;Carrots;pureed;;;3.92;as received;87.79;;;0.87;;;;;;;;;;;;;;;;;;;;;;;;;;;3
190;Organic;4;Plant based ;Cauliflower;;;;4.02;as received;91.91;;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;3
191;Organic;4;Plant based ;Celeriac;;;;3.9;as received;88;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3
192;Organic;4;Plant based ;Celery;;;;4.07;as received;94.64;;;0.82;;;;;;;;;;;;;;;;;;;;;;;;;;;3
193;Organic;4;Plant based ;Collards;;;;4.01;as received;90.55;;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;3
194;Organic;4;Plant based ;Corn sweet, yellow;;;;3.62;as received;75.96;;;0.62;;;;;;;;;;;;;;;;;;;;;;;;;;;3
195;Organic;4;Plant based ;Cucumbers;;;;4.09;as received;96.01;;;0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;3
196;Organic;4;Plant based ;Eggplant;;;;4.02;as received;92.03;;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;3
197;Organic;4;Plant based ;Endive;;;;4.07;as received;93.79;;;1.41;;;;;;;;;;;;;;;;;;;;;;;;;;;3
198;Organic;4;Plant based ;Garlic;;;;3.17;as received;58.58;;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;3
199;Organic;4;Plant based ;Ginger;root;;;3.75;as received;81.67;;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;;;3
200;Organic;4;Plant based ;Horseradish;;;;3.7;as received;78.66;;;2.26;;;;;;;;;;;;;;;;;;;;;;;;;;;3
201;Organic;4;Plant based ;Kale;;;;3.82;as received;84.46;;;1.53;;;;;;;;;;;;;;;;;;;;;;;;;;;3
202;Organic;4;Plant based ;Kohlrabi;;;;4.02;as received;91;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3
203;Organic;4;Plant based ;Lettuce;iceberg;;;4.09;as received;95.89;;;0.48;96.37;;;;;;;;;;;;;;;;;;;;;;;;;;3
204;Organic;4;Plant based ;Leeks;;;;3.77;as received;83;;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;3
205;Organic;4;Plant based ;Mushrooms;;;;3.99;as received;91.81;;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;3
206;Organic;4;Plant based ;Okra;;;;3.97;as received;89.58;;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;3
207;Organic;4;Plant based ;Onions;;;;3.95;as received;89.68;;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;;;3
208;Organic;4;Plant based ;Onions;dehydrated flakes;;;;as received;3.93;;;3.38;;;;;;;;;;;;;;;;;;;;;;;;;;;3
209;Organic;4;Plant based ;Parsley;;;;3.93;as received;87.71;;;87.71;;;;;;;;;;;;;;;;;;;;;;;;;;;3
210;Organic;4;Plant based ;Parsnips;;;;3.74;as received;79.53;;;0.98;;;;;;;;;;;;;;;;;;;;;;;;;;;3
211;Organic;4;Plant based ;Peas;green;;;3.75;as received;78.86;;;0.87;79.73;;;;;;;;;;;;;;;;;;;;;;;;;;3
212;Organic;4;Plant based ;Peppers;freeze-dried;;;;as received;2;;;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;3
213;Organic;4;Plant based ;Peppers;sweet, green;;;4.01;as received;92.19;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;3
214;Organic;4;Plant based ;Potato;main crop;;;3.67;as received;78.96;;;0.89;79.85;;;;;;;;;;;;;;;;;;;;;;;;;;3
215;Organic;4;Plant based ;Potato;sweet;;;3.48;as received;72.84;;;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;3
216;Organic;4;Plant based ;Pumpkins;;;;3.97;as received;91.6;;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;3
217;Organic;4;Plant based ;Radishes;;;;4.08;as received;94.84;;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;3
218;Organic;4;Plant based ;Rhubarb;;;;4.05;as received;93.61;;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;;;3
219;Organic;4;Plant based ;Rutabaga;;;;3.96;as received;89.66;;;0.81;;;;;;;;;;;;;;;;;;;;;;;;;;;3
220;Organic;4;Plant based ;Salsify;vegetable oyster;;;3.65;as received;77;;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;3
221;Organic;4;Plant based ;Spinach;;;;4.02;as received;91.58;;;1.72;;;;;;;;;;;;;;;;;;;;;;;;;;;3
222;Organic;4;Plant based ;Squash;summer;;;4.07;as received;94.2;;;0.58;;;;;;;;;;;;;;;;;;;;;;;;;;;3
223;Organic;4;Plant based ;Squash;winter;;;3.89;as received;87.78;;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;3
224;Organic;4;Plant based ;Tomato;mature green;;;4.02;as received;93;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;3
225;Organic;4;Plant based ;Tomato;ripe;;;4.08;as received;93.76;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;3
226;Organic;4;Plant based ;Turnip;;;;4;as received;91.87;;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;3
227;Organic;4;Plant based ;Turnip;greens;;;4.01;as received;91.07;;;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;3
228;Organic;4;Plant based ;Watercress;;;;4.08;as received;95.11;;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;3
229;Organic;4;Plant based ;Yams;;;;3.47;as received;69.6;;;0.82;;;;;;;;;;;;;;;;;;;;;;;;;;;3
230;Organic;4;Plant based ;Apples;fresh;;;3.81;as received;83.93;;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;;3
231;Organic;4;Plant based ;Apples;dried, at 23°C;;;2.57;as received;31.76;;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;3
232;Organic;4;Plant based ;Apricots;;;;3.87;as received;86.35;;;0.75;;;;;;;;;;;;;;;;;;;;;;;;;;;3
233;Organic;4;Plant based ;Avocados;;;;3.67;as received;74.27;;;1.04;;;;;;;;;;;;;;;;;;;;;;;;;;;3
234;Organic;4;Plant based ;Bananas;;;;3.56;as received;74.26;;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;3
235;Organic;4;Plant based ;Blackberries;;;;3.91;as received;85.64;;;0.48;;;;;;;;;;;;;;;;;;;;;;;;;;;3
236;Organic;4;Plant based ;Blueberries;;;;3.83;as received;84.61;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;3
237;Organic;4;Plant based ;Cantaloupes;;;;3.93;as received;89.78;;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;3
238;Organic;4;Plant based ;Cherries;sour;;;3.85;as received;86.13;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;3
239;Organic;4;Plant based ;Cherries;sweet;;;3.73;as received;80.76;;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;3
240;Organic;4;Plant based ;Cranberries;;;;3.91;as received;86.54;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;3
241;Organic;4;Plant based ;Currants;European black;;;3.71;as received;81.96;;;0.86;;;;;;;;;;;;;;;;;;;;;;;;;;;3
242;Organic;4;Plant based ;Currants;red and white;;;3.85;as received;83.95;;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;3
243;Organic;4;Plant based ;Dates;cured;;;2.31;as received;22.5;;;1.58;;;;;;;;;;;;;;;;;;;;;;;;;;;3
244;Organic;4;Plant based ;Figs;fresh;;;3.7;as received;79.11;;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;3
245;Organic;4;Plant based ;Figs;dried;;;2.51;as received;28.43;;;2.01;;;;;;;;;;;;;;;;;;;;;;;;;;;3
246;Organic;4;Plant based ;Gooseberries;;;;3.95;as received;87.87;;;0.49;;;;;;;;;;;;;;;;;;;;;;;;;;;3
247;Organic;4;Plant based ;Grapefruit;;;;3.96;as received;90.89;;;0.31;;;;;;;;;;;;;;;;;;;;;;;;;;;3
248;Organic;4;Plant based ;Grapes;American typ;;;3.71;as received;81.3;;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;3
249;Organic;4;Plant based ;Grapes;European type;;;3.7;as received;80.56;;;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;3
250;Organic;4;Plant based ;Lemons;;;;3.94;as received;87.4;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;3
251;Organic;4;Plant based ;Limes;;;;3.93;as received;88.26;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;3
252;Organic;4;Plant based ;Mangos;;;;3.74;as received;81.71;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;3
253;Organic;4;Plant based ;Melons;casaba;;;3.99;as received;92;;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;3
254;Organic;4;Plant based ;Melons;honeydew;;;3.92;as received;89.66;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;3
255;Organic;4;Plant based ;Melons;watermelon;;;3.97;as received;91.51;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;3
256;Organic;4;Plant based ;Nectarines;;;;3.86;as received;86.28;;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;3
257;Organic;4;Plant based ;Olives;;;;3.76;as received;79.99;;;2.23;;;;;;;;;;;;;;;;;;;;;;;;;;;3
258;Organic;4;Plant based ;Oranges;;;;3.81;as received;82.3;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;3
259;Organic;4;Plant based ;Peaches;fresh;;;3.91;as received;87.66;;;0.46;;;;;;;;;;;;;;;;;;;;;;;;;;;3
260;Organic;4;Plant based ;Peaches;dried;;;2.57;as received;31.8;;;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;3
261;Organic;4;Plant based ;Pears;;;;3.8;as received;83.81;;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;3
262;Organic;4;Plant based ;Persimmons;;;;3.26;as received;64.4;;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;3
263;Organic;4;Plant based ;Pineapples;;;;3.85;as received;86.5;;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;3
264;Organic;4;Plant based ;Plums;;;;3.83;as received;85.2;;;0.39;;;;;;;;;;;;;;;;;;;;;;;;;;;3
265;Organic;4;Plant based ;Pomegranates;;;;3.7;as received;80.97;;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;3
266;Organic;4;Plant based ;Prunes;dried;;;2.56;as received;32.39;;;1.76;;;;;;;;;;;;;;;;;;;;;;;;;;;3
267;Organic;4;Plant based ;Quinces;;;;3.79;as received;83.8;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;3
268;Organic;4;Plant based ;Raisins;seedless;;;2.07;as received;15.42;;;1.77;;;;;;;;;;;;;;;;;;;;;;;;;;;3
269;Organic;4;Plant based ;Raspberries;;;;3.96;as received;86.57;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;3
270;Organic;4;Plant based ;Strawberries;;;;4;as received;91.57;;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;;3
271;Organic;4;Plant based ;Tangerines;;;;3.9;as received;87.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
272;Organic;4;Plant based ;Almonds;;;;2.2;as received;4.42;;;3.03;;;;;;;;;;;;;;;;;;;;;;;;;;;3
273;Organic;4;Plant based ;Filberts;;;;2.09;as received;5.42;;;3.61;;;;;;;;;;;;;;;;;;;;;;;;;;;3
274;Organic;4;Plant based ;Peanuts;raw;;;2.23;as received;6.5;;;2.33;;;;;;;;;;;;;;;;;;;;;;;;;;;3
275;Organic;4;Plant based ;Peanuts;dry roasted with salt;;;2.08;as received;1.55;;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;3
276;Organic;4;Plant based ;Pecans;;;;2.17;as received;4.82;;;1.56;;;;;;;;;;;;;;;;;;;;;;;;;;;3
277;Organic;4;Plant based ;Apples; (at 8°C);;0.418;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
278;Organic;4;Plant based ;Apples;dried (at 23°C);0.86;0.219;;as received;41.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
279;Organic;4;Plant based ;Apple;juice (at 20°C);;0.559;;as received;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
280;Organic;4;Plant based ;Applesauce; (at 29°C);;0.549;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
281;Organic;4;Plant based ;Apricots,;dried (at 23°C);1.32;0.375;;as received;43.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
282;Organic;4;Plant based ;Beans,;runner (at 9°C);0.75;0.398;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
283;Organic;4;Plant based ;Beets; (at 28°C);;0.601;;as received;87.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
284;Organic;4;Plant based ;Dates; (at 23°C);1.32;0.337;;as received;34.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
285;Organic;4;Plant based ;Figs; (at 23°C);1.24;0.31;;as received;40.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
286;Organic;4;Plant based ;Grapefruit;juice vesicle (at 30°C);;0.462;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
287;Organic;4;Plant based ;Grapefruit;rind (at 28°C);;0.237;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
288;Organic;4;Plant based ;Grape;green, juice (at 20°C);;0.567;;as received;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
289;Organic;4;Plant based ;Grape;jelly (at 20°C);1.32;0.391;;as received;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
290;Organic;4;Plant based ;Nectarines; (at 8.6°C);;0.585;;as received;82.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
291;Organic;4;Plant based ;Onions; (at 8.6°C);;0.575;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
292;Organic;4;Plant based ;Orange;juice vesicle (at 30°C);;0.435;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
293;Organic;4;Plant based ;Orange;rind (at 30°C);;0.179;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
294;Organic;4;Plant based ;Peas; (at 7°C);0.7;0.315;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
295;Organic;4;Plant based ;Peaches;dried (at 23°C);1.26;0.361;;as received;43.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
296;Organic;4;Plant based ;Pears; (at 8.7°C);;0.595;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
297;Organic;4;Plant based ;Pear;juice (at 20°C);;0.55;;as received;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
298;Organic;4;Plant based ;Potato;salad (at 2°C);1.01;0.479;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
299;Organic;4;Plant based ;Prunes; (at 23°C);1.22;0.375;;as received;42.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
300;Organic;4;Plant based ;Raisins; (at 23°C);1.38;0.336;;as received;32.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
301;Organic;4;Plant based ;Strawberry;jam (at 20°C);1.31;0.338;;as received;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
302;Organic;4;Plant based ;Squash; (at 8°C);;0.502;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
303;Organic;4;Plant based ;Corn;yellow (at 32°C);0.75;0.14;;as received;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
304;Organic;4;Plant based ;Corn;yellow (at 32°C);0.75;0.159;;as received;14.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
305;Organic;4;Plant based ;Corn;yellow (at 32°C);0.68;0.172;;as received;30.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
306;Organic;4;Plant based ;Flaxseed; (at 32°C);0.66;0.115;;as received;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
307;Organic;4;Plant based ;Oats;white English (at 27°C);;0.13;;as received;12.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
308;Organic;4;Plant based ;Sorghum; (at 5°C);;0.131;;as received;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
309;Organic;4;Plant based ;Sorghum;;;0.15;;as received;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
310;Organic;4;Plant based ;Wheat ;No. 1 northern  (at 34°C);;0.135;;as received;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
311;Organic;4;Plant based ;Wheat ;hard spring (at °C);;0.149;;as received;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
312;Organic;4;Plant based ;Wheat ;hard spring (at °C);;0.155;;as received;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
313;Organic;4;Plant based ;Wheat ;hard spring (at °C);;0.168;;as received;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
314;Organic;4;Plant based ;Wheat ;soft white winter (at 31°C);0.78;0.121;;as received;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
315;Organic;4;Plant based ;Wheat ;soft white winter (at 31°C);;0.129;;as received;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
316;Organic;4;Plant based ;Wheat ;soft white winter (at 31°C);;0.137;;as received;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
317;Organic;4;Plant based ;Appel;average value;0.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
318;Organic;4;Plant based ;Sweet-lime;average value;0.912308856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
319;Organic;4;Plant based ;Lemon;average value;0.901654437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
320;Organic;4;Plant based ;Orange;average value;0.815396611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
321;Organic;4;Plant based ;Pomegranate ;average value;1.003;;;as received;71.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
322;Organic;4;Plant based ;Pomegranate arils;average value;1.046;;;as received;81.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
323;Organic;4;Plant based ;Coffee, green (beans)   ;;0.615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
324;Organic;4;Plant based ;Coffee, powder (nescafé)   ;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
325;Organic;4;Plant based ;Coffee, roasted (beans)   ;;0.365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
326;Organic;4;Plant based ;Powder, chocolate drinking powder  ;;0.525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
327;Organic;4;Plant based ;Powders     ;;0.225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
328;Organic;4;Plant based ;Tea, black (tea leaves)  ;;0.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
329;Organic;4;Plant based ;Tea, herbal, Ciakimora leaves  ;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
330;Organic;4;Plant based ;Tea, flakes    ;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
331;Organic;4;Plant based ;Tea, powdered    ;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
332;Organic;4;Plant based ;Barley     ;;0.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
333;Organic;4;Plant based ;Barley malt, flour   ;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
334;Organic;4;Plant based ;Barley, fine ground   ;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
335;Organic;4;Plant based ;Barley, meal    ;;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
336;Organic;4;Plant based ;Barley, flour    ;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
337;Organic;4;Plant based ;Barley, flour, malted   ;;0.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
338;Organic;4;Plant based ;Barley, ground    ;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
339;Organic;4;Plant based ;Barley, malted    ;;0.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
340;Organic;4;Plant based ;Barley, rolled    ;;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
341;Organic;4;Plant based ;Barley, scoured    ;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
342;Organic;4;Plant based ;Barley, whole    ;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
343;Organic;4;Plant based ;Biscuits     ;;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
344;Organic;4;Plant based ;Bran     ;;0.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
345;Organic;4;Plant based ;Bread     ;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
346;Organic;4;Plant based ;Bread, cornbread    ;;0.433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
347;Organic;4;Plant based ;Bread, roll, soft   ;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
348;Organic;4;Plant based ;Bread, white    ;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
349;Organic;4;Plant based ;Bread, white, sliced, prepacked  ;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
350;Organic;4;Plant based ;Breadcrumbs     ;;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
351;Organic;4;Plant based ;Breakfast cereal, cornflakes (dry cereal) ;;0.117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
352;Organic;4;Plant based ;Breakfast cereal, muesli w/ fruits&nuts ;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
353;Organic;4;Plant based ;Breakfast cereal, raisin bran  ;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
354;Organic;4;Plant based ;Breakfast cereal, type Cheerios  ;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
355;Organic;4;Plant based ;Breakfast cereal, type Corn flakes ;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
356;Organic;4;Plant based ;Breakfast cereal, type Crispix  ;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
357;Organic;4;Plant based ;Breakfast cereal, type frosted flakes ;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
358;Organic;4;Plant based ;Breakfast cereal, type Just Right ;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
359;Organic;4;Plant based ;Breakfast cereal, type rice krispies ;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
360;Organic;4;Plant based ;Buckwheat, bran    ;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
361;Organic;4;Plant based ;Buckwheat, flour    ;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
362;Organic;4;Plant based ;Buckwheat, whole    ;;0.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
363;Organic;4;Plant based ;Bulrush mille, fermented flour  ;;0.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
