ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref A
99;Organic;3;Wood;Furniture wood;;;;;;;;;;;;;;;;dry ash free basis;49.7;6.1;0.1;0.1;44;;100;49.7;6.1;0.1;0.1;44;;18.2;;;18.2;;;29
100;Organic;3;Wood;Hardwood;;;;;;;;;;;;;;;;dry ash free basis;49.4;6.1;0.1;0.1;44.3;;100;49.4;6.1;0.1;0.1;44.3;;17;;;17;;;29
101;Organic;3;Wood;Bambo;;;;;;;;;;;;;;;;dry ash free basis;47.81;5.55;0.7;0.6;45.89;;100.55;47.54848334;5.519641969;0.696171059;0.596718051;45.63898558;;;19.868;;;19.868;;31
102;Organic;3;Wood;Bambo;;;;;;;;;;;;;;;;dry ash free basis;46.88;6.11;0.28;;46.73;;100;46.88;6.11;0.28;0;46.73;;;;;;;;31
103;Organic;3;Wood;Bambo;;;;;dry basis;;81.36;16.84;1.79;99.99;0;81.36813681;16.84168417;1.790179018;;dry ash free basis;51.42;6.01;0.36;0.29;41.92;;100;51.42;6.01;0.36;0.29;41.92;;;19.616;;19.97356253;19.616;19.616;31
104;Organic;3;Wood;Bambo;;;;;dry basis;;81.03;18.27;0.69;99.99;0;81.03810381;18.27182718;0.690069007;;dry ash free basis;50.46;6.32;0.22;0.1;42.73;0.16;99.99;50.4650465;6.320632063;0.220022002;0.100010001;42.73427343;0.160016002;;19.58;;19.71605438;19.58;19.58;31
105;Organic;3;Wood;Bambo;;;;;dry basis;;80.56;17.48;1.96;100;0;80.56;17.48;1.96;;dry ash free basis;50.76;5.91;0.28;0.07;42.98;;100;50.76;5.91;0.28;0.07;42.98;;;19.339;;19.7256222;19.339;19.339;31
106;Organic;3;Wood;Moso bambo;;;;;;;;;;;;;;;;dry ash free basis;48.89;5.98;0.27;;44.86;;100;48.89;5.98;0.27;0;44.86;;;;;;;;31
107;Organic ;3;Wood;China fir;;;;;dry basis;;82.04;14.44;3.53;100.01;0;82.03179682;14.43855614;3.529647035;;dry ash free basis;51.47;6.89;0.4;0.16;41.08;;100;51.47;6.89;0.4;0.16;41.08;;;20.007;;20.73901399;20.007;20.007;31
108;Organic ;3;Wood;Dry wood;;;;;dry basis;;81.86;15.76;2.38;100;0;81.86;15.76;2.38;;dry ash free basis;48.37;6.17;0.42;0.03;45.01;;100;48.37;6.17;0.42;0.03;45.01;;;;;;;;31
109;Organic ;3;Wood;Pine;;;;;dry basis;;85.64;14.01;0.35;100;0;85.64;14.01;0.35;;dry ash free basis;46.06;5.97;0.1;0.03;47.84;;100;46.06;5.97;0.1;0.03;47.84;;;;;;;;31
110;Organic ;3;Wood;Pine wood;;;;;dry basis;;83.5;15.54;0.95;99.99;0;83.50835084;15.54155416;0.95009501;;dry ash free basis;50.51;5.95;0.11;0.03;43.39;;99.99;50.51505151;5.95059506;0.110011001;0.030003;43.39433943;;;19.646;;19.83444608;19.646;19.646;31
111;Organic ;3;Wood;Polar scraps;;;;;dry basis;;86.38;12.67;0.95;100;0;86.38;12.67;0.95;;dry ash free basis;49.06;6.53;1.45;0.01;42.95;;100;49.06;6.53;1.45;0.01;42.95;;;;;;;;31
112;Organic ;3;Wood;Sawdust;;;;;dry basis;;81;18.58;0.42;100;0;81;18.58;0.42;;dry ash free basis;49.42;7.26;0.39;0.01;42.92;;100;49.42;7.26;0.39;0.01;42.92;;;21.178;;21.26732276;21.178;21.178;31
113;Organic ;3;Wood;Sawdust;;;;;dry basis;;80.93;18.89;0.18;100;0;80.93;18.89;0.18;;dry ash free basis;54.35;5.99;0.26;0;39.4;;100;54.35;5.99;0.26;0;39.4;;;;;;;;31
114;Organic ;3;Wood;Sawdust;;;;;dry basis;;87.26;11.6;1.14;100;0;87.26;11.6;1.14;;dry ash free basis;54.86;6.31;0.28;0.02;38.53;;100;54.86;6.31;0.28;0.02;38.53;;;;;;;;31
115;Organic ;3;Wood;Sawdust;;;;;dry basis;;80.7;17.6;1.7;100;0;80.7;17.6;1.7;;dry ash free basis;52.7;6.3;0.2;0.1;40.7;;100;52.7;6.3;0.2;0.1;40.7;;;;;;;;31
116;Organic ;3;Wood;Sawdust;;;;;dry basis;;84.24;15.15;0.61;100;0;84.24;15.15;0.61;;dry ash free basis;50.4;5.49;0.02;0.01;44.08;;100;50.4;5.49;0.02;0.01;44.08;;;;;;;;31
