ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;SiO2;CaO;Fe2O3;Al2O3;Na2O;MgO;K2O;P2O5;TiO2;MnO;CuO;ZnO;BaO;SO3;Cl;Cr2O3;ZrO2;PbO;B2O3;SrO;SiO2_norm;CaO_norm;Fe2O3_norm;Al2O3_norm;Na2O_norm;MgO_norm;;Share;REF
108;Inert;4;Ceramic;Aluminum Oxide;;4;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224
109;Inert;4;Ceramic;Aluminum Oxide;;3.94;30;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187
110;Inert;5;Non-metal/Stone;Cement;Ordinary Portland Cement;;;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207
111;Inert;5;Non-metal/Stone;White Cement;;2.96;;;;17.05;64.2;0.2;2.15;0.11;0.8;0.24;;;;;;;2.5;;;;;;;0.2018;0.7597;0.0024;0.0254;0.0013;0.0095;;0.968595989;215
112;Inert;5;Non-metal/Stone;Burnt brick;;1.82;0.811;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210
113;Inert;5;Non-metal/Stone;Mud brick;;1.731;0.75;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210
114;Inert;5;Non-metal/Stone;Reinforced cement concrete;;2.288;1.58;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210
115;Inert;5;Non-metal/Stone;Dense concrete;;2.41;1.74;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210
116;Inert;5;Non-metal/Stone;Cement plaster ;;1.762;0.721;0.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210
117;Inert;5;Non-metal/Stone;waste brick;;;;;;66.52;6.06;5.45;14.2;0.67;2.35;2.09;;;;;;;0.75;;;;;;;0.6984;0.0636;0.0572;0.1491;0.0070;0.0247;;0.971046998;203
118;Inert;5;Non-metal/Stone;Stone Slurry;semi-liquid stone waste;2.72;;;;0.91;54.29;0.4;3.72;;0.3;;;;;;;;0.09;0.03;;;;;;0.0153;0.9106;0.0067;0.0624;0.0000;0.0050;;0.997991296;215
119;Inert;5;Non-metal/Stone;Gypsum;Srandard;2.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176
120;Inert;5;Non-metal/Stone;Gypsum;Type C;0.752;0.276;0.852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220
121;Inert;5;Non-metal/Stone;Gypsum;Type X;0.711;0.252;0.947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220
122;Inert;5;Non-metal/Stone;Gypsum;Type F;0.743;0.238;1.034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220
123;Inert;5;Non-metal/Stone;Gypsum;Type R;0.805;0.292;0.977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220
124;Inert;5;Non-metal/Stone;Gypsum;Commercial Gypsum Plaster;2.6;;;;0.35;51.51;0.21;;;;;1.88;;;;;;37.92;;;;;;0.29;0.0067;0.9892;0.0040;0.0000;0.0000;0.0000;;0.566779144;191
125;Inert;5;Non-metal/Stone;Gypsum;Recycled Gypsum Plaster;2.55;;;;0.44;50.29;0.22;;;;;1.87;;;;;;37.82;;;;;;0.27;0.0086;0.9870;0.0043;0.0000;0.0000;0.0000;;0.562113857;191
126;Inert;5;Non-metal/Stone;Gypsum;Recycled Gypsum Plaster;2.55;;;;0.55;51.43;0.17;;;;;1.77;;;;;;36.96;;;;;;0.35;0.0105;0.9862;0.0033;0.0000;0.0000;0.0000;;0.573833627;191
127;Inert;5;Non-metal/Stone;Waste Stone;;;;;;36.96;28.6;3.4;0.49;;6.08;;;;;;;;0.15;;;;;;;0.4893;0.3787;0.0450;0.0065;0.0000;0.0805;;0.99801797;212
128;Inert;5;Non-metal/Stone;Limestone;High value;;1.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174
129;Inert;5;Non-metal/Stone;Limestone;Low value;;1.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174
130;Inert;5;Non-metal/Stone;Limestone;Salem;;2.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174
131;Inert;5;Non-metal/Stone;Marble;High value;;2.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174
132;Inert;5;Non-metal/Stone;Marble;Low value;;2.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174
133;Inert;5;Non-metal/Stone;Marble;Halston;;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174
134;Inert;5;Non-metal/Stone;Marble;M1;2.697;2.92;0.642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;219
135;Inert;5;Non-metal/Stone;Marble;M2;2.835;3.62;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;219
136;Inert;5;Non-metal/Stone;Marble;M3;2.701;3.1;0.644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;219
137;Inert;5;Non-metal/Stone;Marble;M4;2.835;5.46;0.562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;219
138;Inert;5;Non-metal/Stone;Marble Dust;;;;;;0.57;55.26;0.11;0.16;0.05;0.2;;0.02;;;;;;0.06;0.01;;0.01;;;0.03;0.0101;0.9807;0.0020;0.0028;0.0009;0.0035;;0.998405386;198
139;Inert;5;Non-metal/Stone;Limestone Dust;;;;;;0.115;55.44;0.23;0.22;;0.97;;;;;;;;;;;;;;;0.0020;0.9731;0.0040;0.0039;0.0000;0.0170;;1;198
140;Inert;5;Non-metal/Stone;Granite Dust;;;;;;69.88;3.71;7.73;12.21;3;0.07;3.65;0.03;0.05;0.07;;;;0.05;0.01;0.07;;;;;0.7234;0.0384;0.0800;0.1264;0.0311;0.0007;;0.960907192;198
141;Inert;5;Non-metal/Stone;Granite fragments;;;;;;57.2;11.8;3.3;5.4;0;4.6;0;;;;;;;;;;;;;;0.6950;0.1434;0.0401;0.0656;0.0000;0.0559;;1;197
142;Inert;5;Non-metal/Stone;Sand;;2.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211
143;Inert;5;Non-metal/Stone;Sand;Average value between the 8 samples;1.5;1.1825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;218
144;Inert;5;Non-metal/Stone;Sand;Average value between the 5 samples;1.6;1.335;0.67;;88.48;0.53;1.11;5.23;;0.42;0.05;;;;;;;;;;;;;;0.9239;0.0055;0.0116;0.0546;0.0000;0.0044;;0.999478188;194
145;Inert;5;Non-metal/Stone;Soil (dry);;;0.5;0.8;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;207
146;Inert;5;Non-metal/Stone;Soil (dry);Soil 1;2.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;213
147;Inert;5;Non-metal/Stone;Soil (dry);Soil 2;2.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;213
148;Inert;5;Non-metal/Stone;Soil (dry);Soil 3;2.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;213
149;Inert;5;Non-metal/Stone;Sandy Clay Soil;KT;2.69;;;;46.35;1.78;2.06;20.85;;0.22;;;2.19;0.16;;;;;;;;;;;0.6504;0.0250;0.0289;0.2926;0.0000;0.0031;;0.96807499;201
150;Inert;5;Non-metal/Stone;Kaolinite;SC;2.64;;;;20.3;1.1;2.65;5.466;;0.59;;;0.39;0.05;;;;;;;;;;;0.6743;0.0365;0.0880;0.1816;0.0000;0.0196;;0.985595495;201
151;Inert;5;Non-metal/Stone;Sandy Clay Soil;Average value;;;1.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;206
152;Inert;5;Non-metal/Stone;Kaolinite;room temperature;2.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175
153;Inert;6;Glass;Glas Waste;;2.5;;;;64.31;10.61;6.25;19.98;12.52;0.63;0.74;;0.61;;;;;0.25;;0.02;;;;;0.5626;0.0928;0.0547;0.1748;0.1095;0.0055;;0.986024845;211
154;Inert;6;Glass;Soda-Lime Glass;;2.5;1.06;0.87;;73;7;;1;15;4;;;;;;;;;;;;;;;0.7300;0.0700;0.0000;0.0100;0.1500;0.0400;;1;221
155;Inert;6;Glass;Glass ;Silicate glass;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;223
156;Inert;6;Glass;Glass Container;Soda-Lime Glass;;;;;72.2;9.6;;1.9;14.6;1.5;;;;;;;;;;;;;;;0.7234;0.0962;0.0000;0.0190;0.1463;0.0150;;1;197
157;Inert;6;Glass;Window Glass;Soda-Lime Glass;;;;;72;8.2;;1.3;14.3;3.5;;;;;;;;;;;;;;;0.7251;0.0826;0.0000;0.0131;0.1440;0.0352;;1;197
158;Inert;6;Glass;Lamp Glass;Soda-Lime Glass;;;;;71.5;6.6;;2;15.5;2.8;;;;;;;;;;;;;;;0.7266;0.0671;0.0000;0.0203;0.1575;0.0285;;1;197
159;Inert;6;Glass;White Float Glass;;;;0.805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183
160;Inert;6;Glass;White Float Glass;Soda-Lime Glass Base;;;;;72.3;8.8;0.02;0.5;13.3;4.3;0.4;;;;;;;;;;;;;;0.7287;0.0887;0.0002;0.0050;0.1340;0.0433;;0.995984742;190
161;Inert;6;Glass;Green Glass;Average values;;;;;71.5;10;0.055;2.5;14;5;2.5;;;;;;;;;;;;;;0.6938;0.0970;0.0005;0.0243;0.1358;0.0485;;0.976315665;184
162;Inert;6;Glass;Colorless;;;;;;71.7;12;;1.9;13.3;1;;;;;;;;;;0.05;;;;;0.7177;0.1201;0.0000;0.0190;0.1331;0.0100;;0.99949975;204
163;Inert;6;Glass;Green Glass Waste;Soda-Lime Glass Base;;;;;70.5;10.2;0.4;1.8;13;2.8;0.5;;;;;;;0.3;;0.3;;;;;0.7143;0.1033;0.0041;0.0182;0.1317;0.0284;;0.988977956;204
164;Inert;6;Glass;Soda lime silica glass;;;;;;64.3;25.7;;;10;;;;;;;;;;;;;;;;0.6430;0.2570;0.0000;0.0000;0.1000;0.0000;;1;214
165;Inert;6;Glass;Amber Glass;;2.42;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;171
166;Inert;6;Glass;(Lead) Crystal Glass;;;0.62;0.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172
167;Inert;6;Glass;(Lead) Crystal Glass;;;;;;55;;;;;;11.3;;;;;;;;;;;33;;;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;0.829562594;216
168;Inert;6;Glass;Borosilicate Glass;;;;;;80.6;0.1;0.04;2.2;4.2;0.05;;;;;;;;;0.1;;;;12.6;;0.9244;0.0011;0.0005;0.0252;0.0482;0.0006;;0.998854393;216
169;Inert;6;Glass;(Lead) Crystal Glass;;3.01;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;186
170;Inert;6;Glass;Glass;;;;0.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189
171;Inert;6;Glass;Borosilicate Glass;;2.23;1.2;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170
172;Inert;6;Glass;Borosilicate Glass;;2.4;1.1;;;75.5;;;4.5;6;;;;;;;;;;;;;;9.5;;0.8779;0.0000;0.0000;0.0523;0.0698;0.0000;;1;185
173;Inert;7;Metal;Medium Alloy Steel;;7.76;52;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182
174;Inert;7;Metal;Medium Alloy Steel;;;;0.437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207
175;Inert;7;Metal;Copper;;;397.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200
176;Inert;7;Metal;Brass;;;114.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200
177;Inert;7;Metal;Stainless Steel;;;44.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200
178;Inert;7;Metal;Aluminim;;;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189
179;Inert;7;Metal;Copper;;;;0.386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189
180;Inert;7;Metal;Brass;;8.13;52.1;0.379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173
181;Inert;7;Metal;Brass;;;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189
182;Inert;7;Metal;Aluminium Alloy;Al 6061;2.7;190;0.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181
183;Inert;7;Metal;Nickel Alloy;Ni 601;8.93;16.7;0.431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177
184;Inert;7;Metal;Zinc Alloy;ZA27;6.61;109;0.416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180
185;Inert;7;Metal;Titanium Alloy;Ti-6Al-4V alloy;4.53;7.13;0.538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179
186;Inert;7;Metal;Lead Alloy;Copper Lead Alloy;10.5;32.5;0.136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178
187;Inert;7;Metal;Copper Wire;;8.62;384.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;209
188;Inert;7;Metal;Copper Wire;;8.62;388;0.385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207
189;Inert;7;Metal;Aluminum;;2.7;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;225
190;Inert;7;Metal;Aluminum;;2.71;167.5;0.869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207
191;Inert;7;Metal;Iron;;;80;0.449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207
192;Inert;7;Metal;Gold;;19.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188
193;Inert;7;Metal;Silver;;10.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188
194;Inert;7;Metal;Copper;;8.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188
195;Inert;7;Metal;Brass;;8.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188
196;Inert;7;Metal;Iron;;7.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188
197;Inert;7;Metal;Gold;;;;0.126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189
198;Inert;7;Metal;Silver;;;;0.233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189
199;Inert;7;Metal;Steel;;8;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;225
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
