ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;SiO2;CaO;Fe2O3;Al2O3;Na2O;MgO;K2O;P2O5;TiO2;MnO;CuO;ZnO;BaO;SO3;Cl;Cr2O3;ZrO2;PbO;B2O3;SrO;SiO2_norm;CaO_norm;Fe2O3_norm;Al2O3_norm;Na2O_norm;MgO_norm;;Share;REF
22;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;N/A;46.7;26.3;4.69;6.86;4.62;2.22;0.888;;0.77;;0.281;0.714;0.109;2.18;;0.074;;;;;0.5110;0.2878;0.0513;0.0751;0.0506;0.0243;;0.947970043;153
23;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from different municipal solid waste incinerators mainly located in the North of Italy;30.31;23.05;10.02;13.03;1.94;2.83;0.94;1.96;1.07;0.18;0.68;0.73;;;;;;;;;0.3734;0.2839;0.1234;0.1605;0.0239;0.0349;;0.935900392;154
24;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from different municipal solid waste incinerators mainly located in the North of Italy;47.4;18.8;4.38;9.95;4.53;2.91;0.98;1.26;0.75;0.11;0.47;0.34;;;;;;;;;0.5388;0.2137;0.0498;0.1131;0.0515;0.0331;;0.957444493;154
25;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from Vercelli Municipal Solid Waste Incinerator;40.9;12.2;5.7;13.6;10.9;3.1;1.8;;1.2;;;;;;;;;;;;0.4734;0.1412;0.0660;0.1574;0.1262;0.0359;;0.966442953;155
26;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from Bergamo MSWI;42.5;16.4;5.7;17.6;12.9;2.3;1.8;;2.5;0.1;0.2;1.1;;;;0.04;;;;;0.4363;0.1684;0.0585;0.1807;0.1324;0.0236;;0.944347489;156
27;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from Vercelli MSWI;40.85;12.2;5.7;13.6;10.9;3.1;1.8;;1.2;0.1;0.2;0.4;;;;0.07;;;;;0.4731;0.1413;0.0660;0.1575;0.1262;0.0359;;0.958166889;156
28;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from the Reggio Emilia municipal incinerator (Italy) ;45.13;18.78;3.84;9.73;4.64;2.2;1.29;;0.93;;;;;;;;;;;;0.5352;0.2227;0.0455;0.1154;0.0550;0.0261;;0.974347123;157
29;Inert;1;Bottom Ash ;Waste Bottom Ash ;s. Dichte;1.765;;;from a waste-to-energy facility located in Tarragona 0-0.063 mm;27.56;27.23;12.48;9.64;1.95;3.12;1.26;3.13;0.91;0.134;0.164;0.463;;2.31;0.461;;;;;;0.3362;0.3322;0.1522;0.1176;0.0238;0.0381;;0.902744131;158
30;Inert;1;Bottom Ash ;Waste Bottom Ash ;s. Dichte;1.331;;;from a waste-to-energy facility located in Tarragona 0.063-1 mm;27.87;27.55;10.64;10.52;2.3;3.16;1.53;3.07;0.868;0.112;0.217;0.521;;2.69;0.643;;;;;;0.3397;0.3358;0.1297;0.1282;0.0280;0.0385;;0.894744304;158
31;Inert;1;Bottom Ash ;Waste Bottom Ash ;s. Dichte;1.769;;;from a waste-to-energy facility located in Tarragona 1-2 mm;34.35;21.16;16.66;10.03;3.66;3.42;1.5;2.58;0.796;0.117;0.24;0.333;;1.13;0.192;;;;;;0.3847;0.2370;0.1866;0.1123;0.0410;0.0383;;0.928375343;158
32;Inert;1;Bottom Ash ;Waste Bottom Ash ;s. Dichte;2.343;;;from a waste-to-energy facility located in Tarragona 2-4 mm;49.33;15.82;10.45;9.47;8.28;2.28;1.14;1.36;0.534;;;0.133;;0.203;;;;;;;0.5158;0.1654;0.1093;0.0990;0.0866;0.0238;;0.965959596;158
33;Inert;1;Bottom Ash ;Waste Bottom Ash ;s. Dichte;2.183;;;from a waste-to-energy facility located in Tarragona 4-8 mm;47.78;17.04;11.01;7.86;7.37;2.97;1.21;1.83;0.39;;0.126;0.134;;0.361;;;;;;;0.5081;0.1812;0.1171;0.0836;0.0784;0.0316;;0.958697403;158
